productId,slug,assetPath,sourceUrl,sourcePage,licenseStatus,notes
"ct-001","camisa-brasil-ii-2026-azul","/assets/products/ct-001/ct-001__camisa-brasil-ii-2026-azul__front__public-reference__v1.webp","https://acdn-us.mitiendanube.com/stores/006/483/329/products/1-3cb98540969290c6b417712661961091-1024-1024.webp","https://www.territoriodascamisas.com.br/produtos/copa-do-mundo-camisa-brasil-ii-copa-do-mundo-2026-torcedor-masculina-azul-pronta-entrega/","reference_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-001","camisa-brasil-ii-2026-azul","/assets/products/ct-001/ct-001__camisa-brasil-ii-2026-azul__back__public-reference__v1.webp","https://acdn-us.mitiendanube.com/stores/006/483/329/products/2-d04f4821e2e72c268f17712661960849-1024-1024.webp","https://www.territoriodascamisas.com.br/produtos/copa-do-mundo-camisa-brasil-ii-copa-do-mundo-2026-torcedor-masculina-azul-pronta-entrega/","reference_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-001","camisa-brasil-ii-2026-azul","/assets/products/ct-001/ct-001__camisa-brasil-ii-2026-azul__detail__public-reference__v1.webp","https://acdn-us.mitiendanube.com/stores/006/483/329/products/3-5c79b06fe0f7d95af417712661962833-1024-1024.webp","https://www.territoriodascamisas.com.br/produtos/copa-do-mundo-camisa-brasil-ii-copa-do-mundo-2026-torcedor-masculina-azul-pronta-entrega/","reference_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-002","camisa-brasil-i-2026-amarela","/assets/products/ct-002/ct-002__camisa-brasil-i-2026-amarela__front__public-reference__v1.jpg","https://static.netshoes.com.br/produtos/camisa-brasil-nike-i-202627-fa-masculina/46/SGL-052E-046/SGL-052E-046_zoom1.jpg?ts=1776337483&ims=1088x","https://www.netshoes.com.br/p/camisa-brasil-nike-i-202627-fa-masculina-SGL-052E-046","alternate_public_page_noncommercial_official_retail_reference","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-002","camisa-brasil-i-2026-amarela","/assets/products/ct-002/ct-002__camisa-brasil-i-2026-amarela__back__public-reference__v1.jpg","https://static.netshoes.com.br/produtos/camisa-brasil-nike-i-202627-fa-masculina/46/SGL-052E-046/SGL-052E-046_zoom2.jpg?ts=1776337483&ims=1088x","https://www.netshoes.com.br/p/camisa-brasil-nike-i-202627-fa-masculina-SGL-052E-046","alternate_public_page_noncommercial_official_retail_reference","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-003","camisa-flamengo-i-2026","/assets/products/ct-003/ct-003__camisa-flamengo-i-2026__front__public-reference__v1.webp","https://acdn-us.mitiendanube.com/stores/006/483/329/products/flamengo-camisa-pronta-entrega-7-05ebcb9654dd4ea73417610241789852-1024-1024.webp","https://www.territoriodascamisas.com.br/produtos/camisa-flamengo-i-25-26-torcedor-adidas-masculina-pronta-entrega/","reference_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-004","camisa-flamengo-ii-feminina-2026","/assets/products/ct-004/ct-004__camisa-flamengo-ii-feminina-2026__front__public-reference__v1.jpg","https://static.netshoes.com.br/produtos/camisa-flamengo-ii-2526-sn-torcedor-adidas-feminina/14/FBA-3567-014/FBA-3567-014_zoom1.jpg?ts=1778038257&ims=1088x","https://www.netshoes.com.br/p/camisa-flamengo-ii-2526-sn-torcedor-adidas-feminina-FBA-3567-014","alternate_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-004","camisa-flamengo-ii-feminina-2026","/assets/products/ct-004/ct-004__camisa-flamengo-ii-feminina-2026__back__public-reference__v1.jpg","https://static.netshoes.com.br/produtos/camisa-flamengo-ii-2526-sn-torcedor-adidas-feminina/14/FBA-3567-014/FBA-3567-014_zoom2.jpg?ts=1778038257","https://www.netshoes.com.br/p/camisa-flamengo-ii-2526-sn-torcedor-adidas-feminina-FBA-3567-014","alternate_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-005","camisa-sao-paulo-iii-2026-preta","/assets/products/ct-005/ct-005__camisa-sao-paulo-iii-2026-preta__front__public-reference__v1.webp","https://acdn-us.mitiendanube.com/stores/006/483/329/products/camisa-sao-paulo-preta-nova-comemorativa-2025-1-208fe81703b6a635e617610228393197-1024-1024.webp","https://www.territoriodascamisas.com.br/produtos/camisa-sao-paulo-iii-25-26-torcedor-new-balance-masculina-preta-comemorativa-pronta-entrega/","reference_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-006","camisa-sao-paulo-i-feminina-2026","/assets/products/ct-006/ct-006__camisa-sao-paulo-i-feminina-2026__front__public-reference__v1.jpg","https://static.netshoes.com.br/produtos/camisa-sao-paulo-i-2526-torcedor-new-balance-feminina/24/39V-1637-024/39V-1637-024_zoom1.jpg?ts=1777628349&ims=1088x","https://www.netshoes.com.br/p/camisa-sao-paulo-i-2526-torcedor-new-balance-feminina-39V-1637-024","alternate_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-006","camisa-sao-paulo-i-feminina-2026","/assets/products/ct-006/ct-006__camisa-sao-paulo-i-feminina-2026__back__public-reference__v1.jpg","https://static.netshoes.com.br/produtos/camisa-sao-paulo-i-2526-torcedor-new-balance-feminina/24/39V-1637-024/39V-1637-024_zoom2.jpg?ts=1777628349","https://www.netshoes.com.br/p/camisa-sao-paulo-i-2526-torcedor-new-balance-feminina-39V-1637-024","alternate_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
